Código;Descrição;Situação;Situação Conferência;Situação Sorter;Cod. SKU;Num. Picking;Num. Pedido;Num. Caixa Plástica;Num. Endereço;Num. Posto;Num. Conferencia;Num. Controle;Cor LED;Data Início;Data Finalização;Data Conferência;Quantidade;Quantidade Separada;Quantidade Conferida;Usuário Operador;Usuário Conferência;Livre 1;Livre 2;Livre 3;Livre 4;Livre 5;Livre 6;Livre 6;Livre 6;Livre 6;Livre 10;
401149;PISTOLA P/APL.SILICONE 9"                311000-HF;F;F;;12260;0000285733;3589638;0710;163436;101;1;;;02/09/2025 00:58;02/09/2025 01:42;02/09/2025 02:48;1;1;1;YURE.OLIVEIRA;MARCIOS;3;373006;AGRO;109349;4;AGRO;31595;7893590284393;PESADO;PEÇA;
401148;PISTOLA P/APL.SILICONE 9"                311000-HF;F;F;;12260;0000285732;3589638;060438;163436;101;1;;;02/09/2025 00:58;02/09/2025 02:17;02/09/2025 03:52;5;5;5;ALEX.FREITAS;WALLACE.SANTOS;2;373006;PLASTICA;109349;4;PLASTICA;31595;7893590284393;PESADO;PEÇA;
401147;GANCHO P/REDE SOBREPOR                         -WS;F;F;;31170;0000285732;3589638;060438;163215;101;1;;;02/09/2025 00:58;02/09/2025 02:16;02/09/2025 03:52;12;12;12;ALEX.FREITAS;WALLACE.SANTOS;2;373030;PLASTICA;109349;4;PLASTICA;31595;7898489754575;PESADO;SACO;
401146;ALICATE CRIMPADOR P/CB.COAXIAL             5085-HF;F;F;;606;0000285732;3589638;060438;152050;101;1;;;02/09/2025 00:58;02/09/2025 03:48;02/09/2025 03:52;1;1;0;WALLACE.SANTOS;WALLACE.SANTOS;2;373028;PLASTICA;109349;4;PLASTICA;31595;7893595620035;PESADO;PEÇA;
401145;FITA CREPE 24x50m C/4                    -KORETECH;F;F;;31018;0000285732;3589638;060438;163290;101;1;;;02/09/2025 00:58;02/09/2025 02:16;02/09/2025 03:52;5;5;5;ALEX.FREITAS;WALLACE.SANTOS;2;373020;PLASTICA;109349;4;PLASTICA;31595;7908467201233;PESADO;PACOTE;
401144;ROLO LA ANTI-RESPINGO ECONOMICO S/CB.23cm  -CASTOR;F;F;;29948;0000285732;3589638;060438;163457;101;1;;;02/09/2025 00:58;02/09/2025 03:47;02/09/2025 03:52;1;1;0;WALLACE.SANTOS;WALLACE.SANTOS;2;373019;PLASTICA;109349;4;PLASTICA;31595;17898003893336;PESADO;CAIXA;
401143;SACO RAFIA 45x70  SC.C/10 ATE 30kg        DPLASTIC;F;P;;24323;0000285731;3589638;060602;152430;101;1;;;02/09/2025 01:03;02/09/2025 03:07;;3;0;0;JORGE.SOUSA;;2;373009;PLASTICA;109349;4;PLASTICA;31595;27898680380553;PESADO;SACO;
401142;CADEADO 40mm ZAMAC                            STAM;F;F;;5579;0000285730;3589638;060465;149978;19;1;;;02/09/2025 00:54;02/09/2025 02:36;02/09/2025 02:45;5;5;5;LUCAS.CALIXTO;MARCIOS;2;373033;PLASTICA;109349;4;PLASTICA;31595;7893858004015;PESADO;PEÇA;
401141;CADEADO 35mm ZAMAC                            STAM;F;F;;5578;0000285730;3589638;060465;159569;19;1;;;02/09/2025 00:54;02/09/2025 02:35;02/09/2025 02:45;10;10;10;LUCAS.CALIXTO;MARCIOS;2;373027;PLASTICA;109349;4;PLASTICA;31595;7893858003018;PESADO;PEÇA;
401140;LUM.SPOT LED QD.05W/6000K            FENIX II-KIAN;F;F;;22338;0000285730;3589638;060465;150419;17;1;;;02/09/2025 00:54;02/09/2025 02:29;02/09/2025 02:45;6;6;6;ARTHUR.SILVA;MARCIOS;2;373008;PLASTICA;109349;4;PLASTICA;31595;7899710011900;PESADO;PEÇA;
401139;FITA CREPE 24x50m C/4                    -KORETECH;F;F;;31018;0000285730;3589638;060465;150533;15;1;;;02/09/2025 00:54;02/09/2025 02:23;02/09/2025 02:45;1;1;1;ARTHUR.SILVA;MARCIOS;2;373014;PLASTICA;109349;4;PLASTICA;31595;17908467200356;PESADO;CAIXA;
401138;PLUG 3/4"METAL                         RAMO-FORUSI;F;F;;30021;0000285730;3589638;060465;155448;14;1;;;02/09/2025 00:54;02/09/2025 02:12;02/09/2025 02:45;1;1;1;CARLOS.EDUARDO;MARCIOS;2;373029;PLASTICA;109349;4;PLASTICA;31595;7908364503379;PESADO;PACOTE;
401137;RAB.PVC 1,00M                            745-KRONA;F;F;;13184;0000285730;3589638;060465;163096;14;1;;;02/09/2025 00:54;02/09/2025 02:13;02/09/2025 02:45;1;1;1;CARLOS.EDUARDO;MARCIOS;2;373010;PLASTICA;109349;4;PLASTICA;31595;17897801303030;PESADO;CAIXA;
401136;EXT.3S.2P PAR.2X0,75MM  10M BR.NEW POP   227809-FC;F;F;;28241;0000285730;3589638;060465;151321;13;1;;;02/09/2025 00:54;02/09/2025 01:45;02/09/2025 02:45;6;6;6;WELESON.RODRIGUES;MARCIOS;2;373007;PLASTICA;109349;4;PLASTICA;31595;7897356527809;PESADO;PEÇA;
401135;RECEPTACULO LOUCA LATAO E-27 C/BASE 1451 401451-HF;F;F;;17603;0000285730;3589638;060465;151462;12;1;;;02/09/2025 00:54;02/09/2025 01:38;02/09/2025 02:45;1;0;0;ISRAEL.LAURINDO;MARCIOS;2;373012;PLASTICA;109349;4;PLASTICA;31595;27893590284212;PESADO;CAIXA TEMP 2;
401134;TE SOLDAVEL 25MM                        -PLASTILIT;F;F;;30497;0000285730;3589638;060465;163104;11;1;;;02/09/2025 00:54;02/09/2025 01:32;02/09/2025 02:45;1;1;1;MOISES.LEITE;MARCIOS;2;373013;PLASTICA;109349;4;PLASTICA;31595;17898067900131;PESADO;PACOTE;
