Código	Descrição	Situação	Situação Conferência	Situação Sorter	Cod. SKU	Num. Picking	Num. Pedido	Num. Caixa Plástica	Num. Endereço	Num. Posto	Num. Conferencia	Num. Controle	Cor LED	Data Início	Data Finalização	Data Conferência	Quantidade	Quantidade Separada	Quantidade Conferida	Usuário Operador	Usuário Conferência	Livre 1	Livre 2	Livre 3	Livre 4	Livre 5	Livre 6	Livre 6	Livre 6	Livre 6	Livre 10
401151	CORANTE LIQUIDO AZUL 50ML                  -XADREZ	F	F		1674	285735	3590713	285735	150169	5	1			02/09/2025 13:48	02/09/2025 13:55	02/09/2025 15:33	2	2	2	BRUNO.REIS	ALISON.TEIXEIRA	1	373046	PAPELAO	109373	9	PAPELAO	31597	7,89132E+12	PESADO	CAIXA
401152	CASCOLA S/TOLUOL 195gr                      HENKEL	F	F		9694	285735	3590713	285735	154591	8	1			02/09/2025 13:48	02/09/2025 14:59	02/09/2025 15:33	6	0	0	WILTON.SANTOS	ALISON.TEIXEIRA	1	373040	PAPELAO	109373	9	PAPELAO	31597	7,8912E+12	PESADO	PEÇA
401153	COLA BR.PVA  500gr UNIVERSAL         2057-ALMAFLEX	F	F		32773	285735	3590713	285735	150786	9	1			02/09/2025 13:48	02/09/2025 15:05	02/09/2025 15:33	1	1	0	MARCOS.MOTA	ALISON.TEIXEIRA	1	373042	PAPELAO	109373	9	PAPELAO	31597	1,78984E+13	PESADO	CAIXA
401154	SUPER GALVITE                          1/4-SHERWIN	F	F		18123	285735	3590713	285735	155192	12	1			02/09/2025 13:48	02/09/2025 15:09	02/09/2025 15:33	7	7	7	YURI.SEBASTIAO	ALISON.TEIXEIRA	1	373043	PAPELAO	109373	9	PAPELAO	31597	7,89132E+12	PESADO	PEÇA
401320	"CURVA CONDULETE  3/4"" CZ.             6692-ANDALUZ"	F	F		21977	285777	3590766	285777	156964	2	1			02/09/2025 13:48	02/09/2025 13:54	02/09/2025 14:22	3	3	3	BRUNO.REIS	CHECK_WEIGHT	1	373191	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401321	"CX.CONDULETE 5 ENT.1"" CZ.             6638-ANDALUZ"	F	F		21971	285777	3590766	285777	151690	11	1			02/09/2025 13:48	02/09/2025 14:15	02/09/2025 14:22	4	4	4	YURI.SEBASTIAO	CHECK_WEIGHT	1	373192	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401322	"ADAPT.CONDULETE 1x3/4"" CZ.            6656-ANDALUZ"	F	F		21973	285777	3590766	285777	155042	11	1			02/09/2025 13:48	02/09/2025 14:16	02/09/2025 14:22	5	5	5	YURI.SEBASTIAO	CHECK_WEIGHT	1	373194	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401323	"ABRAC.CONDULETE  3/4"" CZ.             6716-ANDALUZ"	F	F		21981	285777	3590766	285777	155277	13	1			02/09/2025 13:48	02/09/2025 14:20	02/09/2025 14:22	3	3	3	WILLIAN.ARAUJO	CHECK_WEIGHT	1	373195	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401324	PLACA CONDULETE TOM.VERT.CZ.          6752-ANDALUZ	F	F		21984	285778	3590766	285778	158495	13	1			02/09/2025 13:48	02/09/2025 13:57	02/09/2025 13:59	1	1	1	YURI.SEBASTIAO	CHECK_WEIGHT	1	373196	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
401325	PLACA CONDULETE TOM.VERT.CZ.          6752-ANDALUZ	F	F		21984	285779	3590766	285779	158495	13	1			02/09/2025 13:48	02/09/2025 13:59	02/09/2025 14:03	1	1	1	YURI.SEBASTIAO	CHECK_WEIGHT	1	373196	PAPELAO	109373	34	PAPELAO	31616	1,78989E+13	PESADO	SACO
